1;"Aeroporto Internacional Tancredo Neves - Confins";
2;"Aeroporto Internacional Afonso Pena";
3;"Aeroporto Internacional de Brasília - Juscelino Kubitscheck";
4;"Aeroporto Internacional de Salvador - Deputado Luís Eduardo Magalhães";
5;"Aeroporto Internacional de São Paulo/Guarulhos";
6;"Aeroporto Internacional de Viracopos/Campinas";
7;"Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre";
8;"Aeroporto Internacional do Rio de Janeiro/Galeão - Antônio Carlos Jobim";
9;"Aeroporto Internacional Eduardo Gomes";
10;"Aeroporto Internacional Marechal Rondon";
11;"Aeroporto Internacional Pinto Martins";
12;"Aeroporto Internacional Salgado Filho";
13;"Aeroporto São Gonçalo do Amarante";
14;"Modernização da Infraestrutura e serviços e suporte às competições";
15;"Ações de Segurança Pública: Integração de Instituições e Sistemas";
16;"Ações de Segurança Pública: Controle dos Pontos de Entrada no País";
17;"Ações de Segurança Pública: Segurança do Evento";
18;"Ações de Defesa - Aeronáutica";
19;"Ações de Defesa - Exército";
20;"Ações de Defesa - Marinha";
21;"Ações de Defesa - Estado-Maior Conjunto das Forças Armadas - MD";
22;"Meios de Hospedagem";
23;"Qualificação em Turismo";
24;"Infraestrutura Turística";
25;"Ações de Segurança Pública: Cooperações Técnicas e Convênios";
26;"Construção de Estruturas Temporárias";
27;"Publicidade";
28;"Imprensa Internacional";
29;"Imprensa Nacional e Regional";
30;"Promoção";
