1;2;3;31/07/2009;31/07/2010;;31/07/2007;31/08/2009;;"1";TRUE;FALSE;FALSE;
2;2;1;31/07/2010;31/12/2012;;31/07/2010;03/06/2013;30/04/2013;"2";TRUE;FALSE;FALSE;
3;2;6;31/12/2011;31/12/2012;;31/12/2011;03/06/2013;;"3";TRUE;FALSE;FALSE;
5;3;3;31/07/2009;31/10/2010;;31/07/2009;31/10/2010;;"1";TRUE;FALSE;FALSE;
6;3;1;31/03/2010;11/12/2012;31/05/2010;31/05/2010;;31/12/2013;"2";TRUE;FALSE;FALSE;
8;5;1;30/09/2009;31/12/2009;31/07/2010;31/07/2010;;31/12/2013;"3";TRUE;FALSE;FALSE;
10;1;6;30/11/2011;30/12/2012;;30/11/2011;28/12/2012;;"2";TRUE;FALSE;FALSE;
11;1;7;31/01/2010;30/06/2010;;31/01/2010;30/06/2010;;"3";TRUE;FALSE;FALSE;
12;1;8;30/06/2010;31/12/2010;;30/06/2010;31/12/2010;;"4";TRUE;FALSE;FALSE;
13;7;3;31/10/2008;30/06/2009;;31/10/2008;30/06/2009;;"1";TRUE;FALSE;FALSE;
14;7;2;31/05/2010;31/07/2010;;31/05/2010;31/07/2010;;"2";TRUE;FALSE;FALSE;
15;7;1;31/03/2010;31/12/2012;31/08/2010;31/08/2010;01/05/2013;14/04/2013;"3";TRUE;FALSE;FALSE;
16;7;6;31/12/2011;30/12/2012;;14/12/2011;01/05/2013;31/12/2013;"4";TRUE;FALSE;FALSE;
17;4;3;30/01/2009;30/12/2009;;30/01/2009;30/12/2009;;"1";TRUE;FALSE;FALSE;
18;4;1;01/12/2010;31/12/2012;;01/12/2010;16/12/2012;16/12/2012;"2";TRUE;FALSE;FALSE;
19;9;3;30/10/2010;30/11/2010;30/09/2009;30/09/2009;;30/10/2011;"1";TRUE;FALSE;FALSE;
20;9;1;30/06/2011;30/06/2013;30/05/2012;;;20/05/2014;"3";TRUE;FALSE;FALSE;
21;8;3;30/08/2010;30/04/2011;;30/08/2010;30/04/2011;;"1";TRUE;FALSE;FALSE;
23;8;1;30/05/2011;30/09/2012;;30/05/2011;30/11/2012;;"3";TRUE;FALSE;FALSE;
24;10;2;30/01/2011;30/12/2011;;30/01/2011;;30/12/2012;"1";TRUE;FALSE;FALSE;
